X...,base,title,type,name,source_name_ch1,mem,fraction_myeloid,fraction_lymphoid,bcell.ch1,bmem.ch1,bnv.ch1,cd4mem.ch1,cd4nv.ch1,cd4t.ch1,cd8t.ch1,eos.ch1,gran.ch1,mono.ch1,neu.ch1,nk.ch1,treg.ch1,RepliTali,LymphoTali,MyeloTali,sl.LymphoTali,sl.MyeloTali,pcgtAge,hypoSC,epiTOC2.tnsc,epiTOC2.tnsc2,epiCMIT,MiAge
GSM5121404,X202163530006_R05C01,EOS2042,pure,Eos,"Human Peripheral blood CD15+ CD16- Eosinophils, Frozen",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.41728466,0.854322105,14.43087912,15.71344269,16.09904975,0.047074894,0.93026295,724.0762588,2182.323226,0.123092169,556.4220568
GSM5121405,X202163530006_R01C01,EOS2063,pure,Eos,"Human Peripheral blood CD15+ CD16- Eosinophils, Frozen",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.016050662,1.299743918,16.32154058,16.55944412,18.31960427,0.049366774,0.925224792,868.819482,2322.985244,0.126150266,588.1030581
GSM5121406,X201870620080_R02C01,EOS2275,pure,Eos,"Human Peripheral blood CD15+ CD16- Eosinophils, Frozen",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.977682324,1.133383075,16.74410584,16.06442331,18.32974786,0.050342526,0.925329703,888.1835435,2340.986686,0.123764689,607.1509609
GSM5121407,X201870610111_R07C01,NKpan1879,pure,NK,"Human Peripheral blood CD56+ Natural killers, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.05638547,13.28923928,0.748363651,15.03072795,17.4590306,0.054028292,0.933383218,1081.492182,2527.236359,0.145823002,832.0214594
GSM5121408,X201870610111_R05C01,Neut2270,pure,Neut,"Human Peripheral blood negatively selected neutrophils, Frozen",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.92151832,1.205780837,13.58950034,16.83769378,15.77479304,0.053024236,0.934244712,1044.954489,2491.232854,0.125933686,653.4570087
GSM5121409,X201870610111_R01C01,NKpan2241,pure,NK,"Human Peripheral blood CD56+ Natural killers, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.188991932,16.25631745,0.644450928,17.61838983,17.83434725,0.059623794,0.931916667,1391.416777,2824.270431,0.148907065,812.8753096
GSM5121410,X201870610056_R08C01,Mono1775,pure,Mono,"Human Peripheral blood CD14+ Monocytes, Frozen",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.28178201,0.857815178,13.56923293,16.05344371,15.48441914,0.052026379,0.939926194,1053.872989,2500.037881,0.116720231,558.3524087
GSM5121411,X201870610056_R07C01,NKpan2503,pure,NK,"Human Peripheral blood CD56+ Natural killers, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.699895916,22.83886439,0.945682409,24.09919683,19.52674115,0.066866947,0.919447913,1826.55242,3243.964246,0.191145889,714.5117437
GSM5121412,X201870610056_R02C01,WB1145,pure,Neut,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.665455684,1.223520913,14.70200941,17.68806684,16.64389009,0.047292675,0.934019223,820.958459,2275.13593,0.127895284,534.3390231
GSM5121413,X201869680198_R06C01,Baso2477,pure,Baso,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.325174332,0.243978289,16.8929223,14.97358969,17.99749006,0.043962784,0.932664601,684.2921791,2143.287447,0.109405665,654.4690703
